cas_rn,substance_name
1078715-61-3,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-[2-[(γ-ω-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts"
108427-53-8,Perfluorohexanesulfonate
113507-82-7,Perfluoro-2-ethoxyethanesulfonic acid
1169706-83-5,"3:3 Fluorotelomer carboxylate, ion(1-)"
122499-17-6,Perfluoro-2-propoxypropanoate
126105-34-8,Perfluorodecanesulfonate
13252-13-6,Perfluoro-2-propoxypropanoic acid
142636-88-2,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7, 8,8,9,9,10,10,11,11,12,12,12heneicosafluorododecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,14pentacosafluorotetradecyl 2-propenoate"
1432017-36-1,Perfluoro-4-methoxybutanoate
143372-54-7,"Siloxanes and Silicones, (3,3,4,4,5,5, 6,6,7,7,8,8,9,9,10,10,10heptadecafluorodecyl)oxy Me, hydroxy Me, Me octyl, ethers with polyethylene glycol mono-Me ether"
146689-46-5,Perfluoroheptanesulfonate
149724-40-3,"8:2 Fluorotelomer sulfonate, ammonium salt"
151772-58-6,"Perfluoro-3,6-dioxaheptanoic acid"
1621485-21-9,Perfluoro(2-((6-chlorohexyl)oxy)ethanesulfonate)
16517-11-6,"Octadecanoic acid, pentatriacontafluoro-"
1652-63-7,"1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, iodide"
165457-57-8,Methyl perfluorohexadecanoate
1691-99-2,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)"
171978-95-3,Perfluorododecanoate
175905-36-9,Perfluoropentanesulfonate
1763-23-1,Perfluorooctane sulfonic acid
17741-60-5,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12, 12-heneicosafluorododecyl ester"
1799325-94-2,"2H,2H,3H,3H-Perfluorooctanoate"
1799325-95-3,7:3 Perfluorodecanoate
19430-93-4,"1-Hexene, 3,3,4,4,5,5,6,6,6-nonafluoro"
196859-54-8,Perfluoroundecanoate
20109-59-5,Sodium perfluoroheptanoate
