cas_rn,concentration_ng_l_footnote_15a
108427-53-8,201.25
1169706-83-5,95.68
122499-17-6,3.31
126105-34-8,0.83
1432017-36-1,0.83
146689-46-5,5.45
1621485-21-9,3.32
1691-99-2,32.82
171978-95-3,4.27
175905-36-9,20.45
1799325-94-2,9600.13
1799325-95-3,629.7
196859-54-8,3.24
2127366-90-7,3.31
2196242-82-5,3.32
220689-13-4,0.84
2355-31-9,88.23
24448-09-7,36.7
2991-50-6,260.28
31506-32-8,1.57
343629-43-6,0.77
365971-87-5,1.54
39187-41-2,1.66
414911-30-1,3.04
4151-50-2,3.3
425670-75-3,93.41
45048-62-2,426.4
45167-47-3,335.71
45187-15-3,533.64
45285-51-6,529.42
45298-90-6,147.64
474511-07-4,0.77
481071-78-7,9.05
72007-68-2,18.18
73829-36-4,16.06
754-91-6,10.17
862374-87-6,1.2
92612-52-7,637.15
