brand,product_name,density_kg_l
Aberdeen Foam,1% AFFF-C6,1.04
HD Fire Protect,1% AFFF HD AFFF 1-C6,1-1.06
HD Fire Protect,AFFF 3%-C6,1.02
Australia Wide Fire Supplies,AFFF 3% Foam Solution,1.01
National Foam,Universal Gold 1%/3% Alcohol AR-AFFF,1.03
International Security and Safety Systems Co.,"AFFF Foam Concentrate – EGY 1%, 3%, 6% (all same specific gravity)",1.02
Perimeter Solutions,Arctic 6% Mil-Spec AFFF Foam Concentrate,1.009 – 1.049
Perimeter Solutions,Solberg Arctic 6% AFFF Foam Concentrate,1.005 – 1.025
Viking,Viking AFFF 3%M C6 Military Specification Foam Concentrate,1.03
Viking,Ultraguard C334-LV 3% AR-AFFF Foam Concentrate,1.03
Viking,C6 3% AFFF Foam Concentrate,1.02
Phos-Check,AFFF Class B 1% Foam Concentrate,1.02
Viking,3% AFFF Military Specification Foam Concentrate C-301 MS,1.079
Univex,3-3 M FPAR Foam Concentrate,1.14
