analyte_footnote_5a,cas_rn,facilities_with_data,quantified_detections_total_sample_results,concentration_range_ppt_footnote_5b,average_concentration_ppt_footnote_5b
Perfluorobutanoic acid (PFBA),45048-62-2,26,32/43,ND – 638,38.5
Perfluoropentanoic acid (PFPeA),45167-47-3,26,33/43,ND – 246,22.7
Perfluorohexanoic acid (PFHxA),307-24-4,26,41/43,ND – 640,33.1
Perfluoroheptanoic acid (PFHpA),375-85-9,26,39/43,ND – 206,15.2
Perfluorooctanoic acid (PFOA),45285-51-6,52,168/229,ND – 680,22.2
Perfluorononanoic acid (PFNA),72007-68-2,38,34/57,ND – 52.6,4.08
Perfluorodecanoic acid (PFDA),73829-36-4,26,15/43,ND – 19.7,0.969
Perfluoroundecanoic acid (PFUnA),196859-54-8,26,9/43,ND – 15.3,0.423
Perfluorododecanoic acid (PFDoA),171978-95-3,26,6/43,ND – 20.3,0.469
Perfluorotridecanoic acid (PFTrA),72629-94-8,26,5/43,ND – 24.9,0.503
Perfluorotetradecanoic acid (PFTeA),376-06-7,26,6/43,ND – 23,0.465
Perfluorohexadecanoic acid (PFHxDA),67905-19-5,3,0/7,ND,ND
Perfluorooctadecanoic acid (PFODA),16517-11-6,3,2/7,ND – 14.6,2.91
Perfluorobutane sulfonic acid (PFBS),45187-15-3,38,36/57,ND – 254,4.84
Perfluoropentane sulfonic acid (PFPeS),175905-36-9,25,4/42,ND – 1.43,0.122
Perfluorohexane sulfonic acid (PFHxS),355-46-4,38,32/57,ND – 59,1.98
Perfluoroheptane sulfonic acid (PFHpS),146689-46-5,23,4/40,ND – 0.28,0.03
Perfluorooctane sulfonic acid (PFOS),45298-90-6,52,161/231,ND – 810,16.1
Perfluorononane sulfonic acid (PFNS),474511-07-4,25,1/42,ND – 2.17,0.022
Perfluorodecane sulfonic acid (PFDS),126105-34-8,26,3/43,ND – 5.17,0.117
Perfluorooctane sulfonamide (PFOSA),754-91-6,25,1/42,ND – 17.5,0.7
4:2 fluorotelomer sulfonic acid (4:2 FTSA),414911-30-1,23,0/33,ND,ND
6:2 fluorotelomer sulfonic acid (6:2 FTSA),425670-75-3,24,19/36,ND – 284,8.7
8:2 fluorotelomer sulfonic acid (8:2 FTSA),481071-78-7,24,6/36,ND – 0.821,0.119
N-methyl perfluorooctane sulfonamide (NMePFOSA),2355-31-9,18,0/22,ND,ND
N-ethyl perfluorooctane sulfonamide (NEtPFOSA),4151-50-2,18,0/22,ND,ND
N-methyl perfluorooctane sulfonamido ethanol (NMeFOSE),24448-09-7,18,2/22,ND – 6.62,0.459
N-ethyl perfluorooctane sulfonamido ethanol (NEtFOSE),1691-99-2,18,0/22,ND,ND
N-methyl perfluorooctane sulfonamido acetic acid (NMeFOSAA),2355-31-9,26,12/43,ND – 12,1.56
N-ethyl perfluorooctane sulfonamido acetic acid (NEtFOSAA),2991-50-6,26,20/44,ND – 46,4.31
Hexafluoropropylene oxide dimer acid (HFPO-DA),13252-13-6,20,10/25,ND – 3.14,0.392
"4,8-dioxa-3H-perfluorononanoic acid (DONA)",919005-14-4,17,0/17,ND,ND
"Sodium dodecafluoro-3H-4, 8- dioxanonanoate (NaDONA)",2250081-67-3,2,0/6,ND,ND
11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OudS/F-53B Minor),763051-92-9,16,0/16,ND,ND
