substance_name,cas_rn,primary_treatment_with_lt_90_pct_residential_sources_ng_l,primary_treatment_with_gt_90_pct_residential_sources_ng_l,secondary_treatment_with_lt_70_pct_residential_sources_ng_l,secondary_treatment_with_70_pct_90_pct_residential_sources_ng_l,secondary_treatment_with_gt_90_pct_residential_sources_ng_l,tertiary_advanced_treatment_with_lt_90_pct_residential_sources_ng_l,tertiary_advanced_treatment_with_gt_90_pct_residential_sources_ng_l
TFA,76-05-1,NA,NA,1281,1736.7,1193,NA,NA
PFBA,45048-62-2,5.2,3.7,12.4,9.6,10.9,9.2,2.1
PFPeA,45167-47-3,4.1,4.3,20.2,13.9,12.6,20.4,10.3
PFHxA,92612-52-7,4.3,4.1,22.3,17.3,18.4,26.4,9.4
PFHpA,120885-29-2,2.4,1.7,6.6,2.5,3.2,6.5,1.3
PFOA,45285-51-6,2.8,3.1,13.5,6.7,9.2,18,4
PFNA,72007-68-2,1,1,1.2,1.2,1.5,1.4,1.1
PFDA,73829-36-4,0.4,0.8,1.3,1.5,1.4,1.7,0.6
PFUnA,196859-54-8,0.255,0.4,1.25,0.5,0.4,0.2,0.4
PFDoA,171978-95-3,0.255,0.32,1,0.32,0.8,0.2,0.4
PFTrDA,862374-87-6,0.255,0.4,1.25,0.4,0.4,0.4,0.4
PFTeDA,365971-87-5,0.255,0.4,1.25,0.4,0.4,0.2,0.4
PFBS,45187-15-3,1.7,1.7,6.9,4.1,9.7,4.2,1
PFPeS,175905-36-9,0.385,0.5,1.4,0.4,0.5,0.7,0.4
PFHxS,108427-53-8,1.7,1.4,4.9,1.3,2.6,5.9,2.3
PFHpS,146689-46-5,0.7,0.4,0.4,0.4,1.9,0.19,0.4
PFOS,45298-90-6,4.9,5.2,6.4,3.9,11.2,6.2,2.2
PFNS,474511-07-4,0.4,0.4,1.25,0.4,0.9,0.19,0.4
PFDS,126105-34-8,0.265,0.4,1.25,0.4,2.5,0.205,0.4
PFDoS,343629-43-6,0.245,0.4,1.25,0.4,0.4,0.19,0.4
4:2 FTS,414911-30-1,1.025,1.6,4.99,1.595,11.4,0.81,1.6
6:2 FTS,425670-75-3,2,37.4,16.6,16.6,36.2,1.5,1.44
8:2 FTS,481071-78-7,1.025,1.8,4.24,1.355,1.595,0.81,1.7
3:3 FTCA,1169706-83-5,0.795,1.6,4.99,1.595,1.595,NA,NA
5:3 FTCA,1799325-94-2,4.975,10,31.2,9.95,21.8,NA,NA
7:3 FTCA,1799325-95-3,4.975,10,31.2,9.95,9.95,NA,NA
PFOSA,754-91-6,0.265,1,0.6,1.8,0.8,1.2,0.5
N-MeFOSA,31506-32-8,0.295,0.4,1.25,0.4,0.46,0.235,0.46
N-EtFOSA,4151-50-2,0.64,1.12,3.495,1.115,1.115,1.3,1
MeFOSAA,2355-31-9,0.31,0.4,0.6,2.1,1,0.7,0.5
EtFOSAA,2991-50-6,0.8,0.8,0.7,2.4,1,1.2,0.6
N-MeFOSE,24448-09-7,2.61,4,12.5,3.99,3.99,2.065,3.995
N-EtFOSE,1691-99-2,1.99,4,12.5,3.99,3.985,3.5,5.6
HFPO-DA,122499-17-6,0.795,1.6,4.99,1.595,1.595,NA,NA
ADONA,2127366-90-7,0.795,1.6,4.99,1.595,1.595,NA,NA
NFDHA,39187-41-2,0.4,0.8,2.495,0.8,0.795,NA,NA
PFMBA,1432017-36-1,0.2,0.4,1.25,0.4,0.4,NA,NA
PFMPA,377-73-1,0.4,0.8,2.495,0.8,0.795,NA,NA
9Cl-PF3ONS,1621485-21-9,0.8,1.605,5,1.6,1.6,NA,NA
11Cl-PF3OUdS,2196242-82-5,0.795,1.6,4.995,1.595,1.595,NA,NA
PFEESA,220689-13-4,0.2,0.4,1.25,0.4,0.4,NA,NA
