substance_name,cas_rn,primary_treatment_with_dewatering_of_solids_lt_90_pct_residential_sources_ng_g_dry_weight_basis,primary_treatment_with_dewatering_of_solids_gt_90_pct_residential_sources_ng_g_dry_weight_basis,primary_treatment_with_alkaline_solids_treatment_gt_90_pct_residential_sources_ng_g_dry_weight_basis,primary_treatment_with_anerobic_digestion_of_solids_gt_90_pct_residential_sources_ng_g_dry_weight_basis,secondary_treatment_with_dewatering_of_solids_gt_90_pct_residential_sources_ng_g_dry_weight_basis,secondary_treatment_with_anerobic_digestion_of_solids_lt_70_pct_residential_sources_ng_g_dry_weight_basis,secondary_treatment_with_anerobic_digestion_of_solids_70_pct_90_pct_residential_sources_ng_g_dry_weight_basis,secondary_treatment_with_anerobic_digestion_of_solids_gt_90_pct_residential_sources_ng_g_dry_weight_basis,secondary_treatment_with_anerobic_digestion_and_pelletization_of_solids_lt_70_pct_residential_sources_ng_g_dry_weight_basis,tertiary_treatment_with_dewatering_of_solids_lt_90_pct_residential_sources_ng_g_dry_weight_basis,tertiary_treatment_with_dewatering_of_solids_gt_90_pct_residential_sources_ng_g_dry_weight_basis,tertiary_treatment_with_alkaline_solids_treatment_gt_90_pct_residential_sources_ng_g_dry_weight_basis
TFA,76-05-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFBA,45048-62-2,59.1,60.7,0.835,8.45,2.435,7.1,4.705,3.4,0.8,0.74,0.74,5.55
PFPeA,45167-47-3,1.875,2.01,0.42,4.23,1,0.91,1,1.89,0.4,0.37,0.37,1.4
PFHxA,92612-52-7,0.935,1.005,0.21,1.9,1.6,2.4,1.9,1.6,0.8,0.8,0.185,0.9
PFHpA,120885-29-2,0.935,1.005,0.21,2.115,0.3,0.8,0.4,0.5,0.2,0.185,0.185,0.8
PFOA,45285-51-6,0.935,1.005,0.21,2.115,1.7,1.8,1,1,1,3.3,0.9,0.205
PFNA,72007-68-2,0.935,1.005,0.205,2.115,0.8,0.8,0.9,1.6,0.5,1.9,1.6,0.205
PFDA,73829-36-4,0.935,1.005,0.205,2.115,3.6,3.9,2,2.6,2,6.2,1.7,0.7
PFUnA,196859-54-8,0.935,1.005,0.205,2.115,1.1,1.2,1,1.1,0.7,1.5,1.4,0.5
PFDoA,171978-95-3,0.9,0.4,0.205,2.7,1.6,2.3,1.5,1.9,1.5,2.5,1.2,0.4
PFTrDA,862374-87-6,0.935,1.005,0.21,5,1,1.7,1.8,2.2,1,1,1.1,1.025
PFTeDA,365971-87-5,0.935,1.005,0.235,4.3,0.8,1.1,1,1.1,0.255,0.7,0.3,3.015
PFBS,45187-15-3,0.935,1.005,0.21,2.115,0.61,1.2,1.9,2.2,0.2,0.185,0.185,0.205
PFPeS,175905-36-9,0.935,1.005,0.195,2.125,0.61,0.455,1.18,0.945,0.225,0.17,0.17,0.205
PFHxS,108427-53-8,0.935,1.005,0.5,2.115,19.4,1.1,1.7,0.8,5.5,2,0.5,0.205
PFHpS,146689-46-5,2.66,1.005,0.205,2.115,0.61,1,0.5,0.5,0.205,0.17,0.185,0.205
PFOS,45298-90-6,2.1,2.9,1.9,4.2,15.1,12.1,6.6,12.5,11.7,12.8,5.7,1.9
PFNS,474511-07-4,1.875,2.01,0.195,2.115,0.61,0.7,1.175,8.4,0.2,0.9,2.1,0.22
