pfas,cas_rn,median_concentration_ng_g
PFBA,375-22-4,0.7
PFPA,2706-90-3,15.4
PFHxA,307-24-4,1.4
PFHpA,375-85-9,0.025Footnote 9A
PFOA,335-67-1,3.2
PFNA,375-95-1,0.5
PFDA,335-76-2,2.5
PFUnA,4234-23-5,0.025Footnote 9A
PFDoA,307-55-1,2.0
PFTrA,72629-94-8,0.025Footnote 9A
PFTeA,376-06-7,1.3
PFBS,59933-66-3,0.025Footnote 9A
PFHxS,355-46-4,0.025Footnote 9A
PFHpS,375-92-8,0.025Footnote 9A
PFOS,1763-23-1,0.7
PFDS,335-77-3,0.025Footnote 9A
FTOH 4:2,2043-47-2,0.025Footnote 9A
FTOH 6:2,647-42-7,6.0
FTOH 8:2,678-39-7,15.7
FTOH 10:2,865-86-1,4.3
